Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar
1/1/24 0:00,Machine_9,70.34,1.82,4.78
1/1/24 0:01,Machine_3,78.49,0.84,5.2
1/1/24 0:02,Machine_2,64.96,1.14,3.69
1/1/24 0:03,Machine_4,62.8,0.78,4.83
1/1/24 0:04,Machine_10,70.54,1.7,3.46
1/1/24 0:05,Machine_10,69.67,1.58,3.94
1/1/24 0:06,Machine_2,72.58,1.3,5.31
1/1/24 0:07,Machine_9,65.57,1.86,4.49
1/1/24 0:08,Machine_10,71.56,1.73,4.41
1/1/24 0:09,Machine_1,74.44,1.5,5.57
1/1/24 0:10,Machine_7,69.82,1.08,5.56
1/1/24 0:11,Machine_7,63.88,1.74,4.54
1/1/24 0:12,Machine_4,76.11,1.85,4.25
1/1/24 0:13,Machine_3,71.25,2.03,4.45
1/1/24 0:14,Machine_7,73.35,1.4,4.46
1/1/24 0:15,Machine_4,68.02,1.58,4.49
1/1/24 0:16,Machine_3,63.17,1.75,5.64
1/1/24 0:17,Machine_10,79.92,1.2,4.79
1/1/24 0:18,Machine_3,73.54,1.14,5.01
1/1/24 0:19,Machine_4,77.7,1.77,4.94
1/1/24 0:20,Machine_6,65.89,1.36,5.06
1/1/24 0:21,Machine_2,75.84,1.38,4.87
1/1/24 0:22,Machine_8,63.45,1.44,4.86
1/1/24 0:23,Machine_5,61.62,0.93,5.65
1/1/24 0:24,Machine_6,66.67,1.16,4.9
1/1/24 0:25,Machine_6,71.39,1.88,5.09
1/1/24 0:26,Machine_10,60.93,0.6,4.42
1/1/24 0:27,Machine_9,62.21,1.32,5.39
1/1/24 0:28,Machine_2,60.71,1.71,5.06
1/1/24 0:29,Machine_7,63.7,1.52,5.46
1/1/24 0:30,Machine_4,67.58,1.52,4.49
1/1/24 0:31,Machine_10,68.48,1.2,4.97
1/1/24 0:32,Machine_9,68.53,1.32,5.57
1/1/24 0:33,Machine_10,65.43,1.8,4.33
1/1/24 0:34,Machine_3,74.55,1.8,4.24
1/1/24 0:35,Machine_9,71.69,1.46,4.89
1/1/24 0:36,Machine_1,62.58,1.21,4.73
1/1/24 0:37,Machine_4,68.86,1.31,5.1
1/1/24 0:38,Machine_1,68.55,2,4.28
1/1/24 0:39,Machine_3,75.81,1.33,5.43
1/1/24 0:40,Machine_2,73.62,1.45,4.96
1/1/24 0:41,Machine_10,67.62,1.3,5.32
1/1/24 0:42,Machine_3,74.81,1.72,4.41
1/1/24 0:43,Machine_8,70.6,1.17,5.67
1/1/24 0:44,Machine_9,71.74,1.18,4.17
